size,distance,urgent,delivery_fee
small,0.4,yes,9
large,0.1,yes,14
small,1.7,no,6
small,2.9,yes,11
large,0.4,no,11
large,0.9,no,10
small,1.4,no,8
medium,2.0,yes,13
small,2.1,yes,10
small,2.4,yes,10
medium,1.4,yes,12
large,2.2,no,17
small,0.4,no,5
large,1.6,yes,20
small,2.3,yes,10
small,1.6,no,5
large,0.7,no,13
large,2.9,no,13
large,0.3,yes,13
large,2.2,no,16
small,0.2,no,5
medium,1.9,yes,14
medium,1.4,no,8
small,0.5,no,5
large,0.4,no,12
medium,0.4,no,8
small,1.4,no,5
small,0.9,no,6
small,2.4,no,5
large,1.4,no,12
medium,1.5,yes,10
medium,1.8,no,8
small,1.3,no,7
medium,0.1,yes,11
small,1.2,no,6
large,2.0,yes,14
medium,1.7,no,10
large,1.2,yes,12
medium,1.6,yes,13
large,1.0,no,15
medium,1.8,no,10
small,1.1,yes,12
large,2.6,yes,19
large,1.7,yes,17
large,2.3,no,14
small,1.7,yes,8
medium,2.1,no,11
medium,2.6,yes,16
large,1.4,no,11
large,1.0,no,13
large,1.9,no,13
small,0.8,no,5
medium,2.3,yes,15
large,2.8,no,15
large,1.1,no,14
small,0.9,no,6
medium,2.0,no,10
medium,2.8,no,11
large,0.7,yes,16
small,0.3,no,5
small,0.0,yes,9
medium,2.0,no,10
small,2.0,yes,12
small,1.3,yes,11
medium,0.6,no,9
large,1.8,no,14
large,1.6,yes,17
small,1.0,no,6
small,2.2,no,7
small,1.8,no,7
small,1.2,yes,7
small,0.0,no,4
medium,0.9,yes,10
large,0.4,no,9
large,2.3,yes,20
small,0.7,yes,10
medium,1.2,no,11
small,2.3,yes,10
large,0.3,yes,13
large,1.3,yes,18
medium,2.4,no,9
large,0.2,no,11
small,1.2,yes,9
medium,2.1,yes,16
small,0.9,yes,11
large,2.9,no,18
medium,1.1,yes,12
large,1.2,yes,15
small,2.9,no,8
large,1.1,yes,13
large,2.3,yes,20
small,0.7,yes,7
large,2.6,yes,19
small,2.3,yes,10
large,1.7,no,13
large,1.6,no,11
large,2.6,yes,19
medium,2.8,no,12
medium,1.2,no,9
medium,0.7,yes,12
small,1.7,no,6
small,0.8,no,6
medium,0.3,yes,9
small,2.6,yes,12
small,1.4,no,6
small,2.8,yes,13
large,1.8,yes,15
medium,1.1,no,8
medium,1.4,no,10
small,1.1,no,5
large,0.4,no,11
large,1.3,yes,14
small,1.5,no,6
large,1.9,no,14
medium,0.5,no,7
large,2.9,yes,20
small,2.3,no,6
small,2.1,yes,8
large,2.0,no,13
large,1.7,yes,15
medium,0.1,no,8
small,2.8,yes,10
medium,0.8,no,7
medium,1.7,yes,12
large,2.3,yes,17
large,0.0,yes,11
medium,1.7,yes,15
large,2.7,no,16
large,2.8,yes,18
small,1.8,no,7
large,0.7,no,12
medium,2.3,yes,15
large,2.9,yes,15
large,2.3,no,16
large,0.8,no,11
medium,1.3,no,8
small,2.1,yes,10
small,2.2,no,5
medium,1.3,no,7
medium,1.3,no,7
large,0.3,no,12
medium,1.2,yes,15
small,1.7,yes,9
medium,1.5,yes,11
small,1.1,yes,10
medium,0.3,no,6
large,1.1,no,12
large,2.9,yes,20
medium,0.9,no,10
large,1.9,yes,17
medium,0.3,yes,12
large,0.1,no,12
medium,2.5,yes,17
medium,0.4,no,7
large,1.3,no,11
medium,1.7,no,11
medium,2.1,yes,12
small,1.9,yes,11
medium,2.9,no,9
small,1.5,yes,10
large,2.1,yes,14
medium,2.8,yes,15
medium,1.0,yes,11
large,2.1,no,11
large,0.3,no,11
small,2.8,yes,10
medium,2.9,yes,16
large,1.3,yes,18
medium,1.2,yes,13
small,1.7,yes,8
large,2.6,no,16
large,0.3,no,12
large,2.1,no,17
large,0.4,yes,12
small,1.5,no,6
medium,0.6,yes,11
medium,2.5,yes,18
small,2.4,no,7
large,2.5,no,14
small,0.9,no,4
medium,1.7,no,9
small,0.8,no,6
large,1.3,yes,19
small,0.9,yes,10
medium,2.6,yes,16
large,2.1,no,11
small,2.4,yes,11
small,1.0,no,5
large,3.0,yes,19
small,3.0,yes,9
medium,2.5,no,12
medium,1.9,no,11
small,1.2,no,7
medium,2.9,no,14
large,0.3,no,11
small,2.4,no,6
small,1.5,no,7
large,0.4,no,12
small,0.1,no,3
small,1.3,yes,12
small,2.6,no,7
medium,0.3,no,6
large,0.5,no,11
small,1.3,yes,9
small,1.8,no,5
small,3.0,no,8
small,1.1,yes,7
medium,2.3,yes,14
large,0.0,yes,13
small,2.8,no,7
small,0.4,yes,10
medium,2.4,yes,12
large,2.2,no,16
large,2.6,yes,20
medium,1.9,yes,13
large,0.2,yes,15
large,1.3,yes,19
small,1.8,yes,7
medium,1.5,no,9
large,1.6,yes,15
small,2.9,yes,11
large,2.0,yes,18
small,0.2,yes,10
small,0.9,yes,9
small,1.5,no,6
large,0.8,no,10
medium,2.2,yes,15
medium,1.6,no,11
small,1.5,no,5
small,1.1,no,7
large,2.2,yes,19
small,0.7,no,5
small,2.8,yes,13
medium,0.7,yes,11
small,1.7,yes,9
large,2.9,no,14
medium,2.3,no,11
small,1.1,no,6
large,0.7,no,12
small,2.2,yes,9
large,1.0,yes,17
large,2.2,yes,18
small,2.9,yes,12
large,1.2,no,12
large,0.3,yes,15
small,1.3,yes,8
medium,2.1,no,9
small,2.8,yes,11
small,1.3,no,6
small,1.4,no,5
small,2.4,no,8
small,0.6,no,4
medium,1.2,yes,14
small,2.9,no,8
small,1.4,yes,8
small,0.4,no,5
large,0.3,no,12
small,0.6,no,6
medium,0.4,no,6
medium,2.5,no,11
medium,0.5,yes,13
small,0.1,yes,10
medium,0.2,no,7
large,2.7,yes,20
medium,2.3,no,12
medium,2.7,no,10
medium,1.8,yes,15
medium,1.6,yes,15
medium,1.6,yes,16
medium,1.1,yes,12
large,1.1,yes,16
small,1.7,yes,13
large,0.9,no,9
large,0.7,no,9
small,2.4,no,9
medium,0.2,yes,12
large,2.6,yes,20
small,1.0,no,4
medium,2.4,no,11
large,2.1,no,13
small,1.1,no,5
large,2.8,no,19
large,0.1,no,12
small,1.9,yes,11
small,1.0,no,5
small,2.5,no,6
small,2.1,no,5
small,0.1,no,5
medium,1.5,no,9
medium,2.4,yes,13
medium,0.1,no,9
small,2.7,yes,13
small,1.0,no,6
large,0.5,no,9
small,2.9,no,9
large,1.6,no,11
medium,1.7,no,8
medium,0.3,no,6
small,1.9,yes,10
medium,1.5,no,8
small,1.1,no,5
medium,1.3,no,8
small,0.5,yes,7
large,0.7,yes,16
large,2.1,no,14
medium,0.2,yes,12
large,2.9,yes,18
small,2.9,yes,11
medium,0.6,yes,14
small,0.3,no,5
large,1.4,yes,18
medium,0.3,yes,10
small,2.8,yes,14
medium,0.8,no,9
small,0.8,yes,9
medium,2.7,no,11
medium,2.8,no,11
medium,0.9,no,10
small,0.4,no,6
large,1.3,yes,15
large,1.5,no,15
small,0.2,no,4
large,0.1,yes,14
small,1.4,no,6
medium,1.5,yes,13
medium,0.5,no,8
small,2.5,no,8
medium,0.1,yes,11
small,1.9,yes,8
large,0.0,yes,12
medium,1.8,no,12
medium,1.3,no,11
small,1.4,no,5
large,2.9,no,17
medium,0.9,yes,11
medium,2.6,no,14
large,0.9,yes,13
large,1.2,no,14
large,1.5,no,11
medium,2.2,yes,15
large,2.4,no,16
large,2.6,yes,18
large,2.4,yes,20
small,1.1,no,6
medium,0.8,no,8
small,2.6,yes,9
large,1.1,no,12
small,0.4,yes,9
medium,0.4,yes,13
small,0.9,yes,8
small,1.7,yes,9
large,1.3,no,13
medium,0.0,yes,13
large,0.6,yes,15
medium,0.9,yes,11
small,0.9,no,5
large,1.0,yes,15
small,0.5,no,3
small,0.6,yes,8
large,2.4,no,16
large,1.9,yes,17
large,0.3,no,10
medium,2.1,yes,15
large,0.3,no,11
medium,2.5,yes,15
small,1.5,yes,12
medium,2.1,no,9
small,2.1,no,5
large,0.3,yes,14
small,2.3,yes,9
small,1.4,no,5
small,2.6,no,7
medium,2.2,yes,16
small,2.0,yes,12
medium,2.6,yes,13
medium,2.9,no,14
medium,2.4,yes,13
small,0.3,no,6
small,1.8,no,7
large,2.9,yes,20
medium,0.1,no,8
large,1.6,yes,19
large,2.1,yes,18
large,2.0,no,13
large,0.2,yes,13
small,0.2,no,4
medium,0.2,yes,12
small,1.4,no,5
medium,0.4,no,8
medium,1.2,yes,16
large,0.9,yes,15
small,2.4,no,7
large,1.4,no,13
large,0.7,no,10
medium,1.6,no,10
small,1.5,no,5
small,0.4,no,4
small,2.2,yes,10
large,1.8,no,14
large,0.4,no,8
large,2.8,no,19
small,2.1,yes,10
large,1.8,no,13
large,2.7,yes,20
medium,2.4,yes,16
medium,2.5,no,14
large,0.7,yes,15
large,0.4,yes,14
small,2.3,no,8
large,1.3,no,14
small,1.6,yes,7
medium,2.3,yes,16
small,2.1,no,6
medium,2.4,yes,16
small,2.2,no,7
large,0.9,yes,18
large,0.9,yes,13
medium,2.5,no,13
large,0.6,yes,14
small,2.9,yes,10
small,0.5,no,4
small,0.1,no,5
large,1.8,no,14
medium,0.2,no,8
large,0.2,yes,12
small,2.7,no,6
large,1.6,yes,14
large,1.8,yes,19
small,1.2,no,4
medium,1.5,no,9
large,0.6,yes,18
large,1.6,yes,15
large,1.3,yes,16
large,2.3,yes,18
medium,0.1,yes,9
large,2.5,no,14
medium,1.3,yes,10
large,1.9,yes,18
small,0.9,no,6
medium,1.1,yes,11
medium,2.4,no,12
large,2.7,no,16
large,0.4,yes,12
small,0.9,no,5
large,0.4,yes,12
small,2.0,yes,13
medium,1.9,yes,11
large,1.7,no,13
small,0.3,yes,9
large,2.0,yes,17
medium,0.5,no,7
large,1.9,no,14
large,1.0,no,11
medium,1.5,yes,13
small,2.7,yes,10
small,2.7,yes,13
small,2.7,no,9
medium,2.0,yes,13
large,2.6,yes,18
large,0.0,yes,15
small,2.3,yes,11
large,2.6,yes,20
small,2.3,yes,7
small,1.6,no,6
small,0.1,no,3
large,2.5,no,16
medium,2.0,no,12
small,1.5,no,7
medium,1.1,no,9
large,0.0,yes,13
medium,0.6,yes,11
large,0.7,no,12
medium,1.4,yes,13
small,1.7,yes,10
small,0.2,no,6
medium,1.8,yes,17
small,0.6,no,6
medium,1.8,yes,13
large,1.0,no,12
medium,1.2,yes,12
large,1.3,yes,17
large,0.1,yes,12
large,2.5,no,15
small,2.1,no,6
medium,1.1,yes,13
small,0.8,no,4
large,2.4,yes,17
medium,1.2,yes,11
large,1.3,no,14
medium,2.3,no,11
small,1.1,no,5
medium,2.3,no,13
large,0.4,yes,13
small,1.5,no,7
large,2.1,yes,19
small,1.4,no,4
medium,0.2,yes,12
large,1.6,yes,20
medium,0.0,no,6
large,1.5,yes,17
large,0.0,yes,11
large,1.2,yes,15
small,1.6,no,6
small,1.8,yes,8
small,1.2,yes,9
small,2.4,no,9
large,0.8,no,14
small,2.3,no,8
small,1.4,no,5
small,2.0,yes,10
large,0.0,no,8
large,2.2,no,14
medium,0.9,yes,15
large,2.8,yes,19
medium,0.6,yes,13
small,0.4,yes,9
large,2.9,no,15
large,2.6,no,15
large,0.8,yes,16
medium,1.4,yes,13
small,1.4,yes,11
small,2.0,no,6
large,2.6,yes,18
large,1.0,yes,15
medium,1.1,no,8
small,2.9,yes,13
large,1.3,no,11
large,0.4,yes,14
large,1.6,no,14
large,2.6,yes,18
medium,1.4,yes,12
large,1.7,no,12
medium,2.6,yes,16
medium,1.1,no,10
small,1.1,no,6
small,1.9,no,6
medium,2.5,yes,12
large,0.9,no,12
medium,2.3,no,12
medium,1.2,yes,13
medium,2.8,yes,13
medium,1.6,yes,16
small,0.8,yes,8
small,0.7,no,5
large,2.5,yes,17
medium,1.4,no,9
large,1.6,no,14
large,1.3,no,14
small,2.4,no,6
small,0.9,yes,8
medium,1.4,yes,14
medium,0.0,no,8
small,1.6,yes,9
small,2.1,no,7
small,1.3,yes,10
large,2.1,no,15
medium,1.2,yes,11
large,1.4,no,10
small,2.9,yes,8
large,1.3,yes,14
medium,1.3,no,11
small,1.0,yes,7
medium,0.5,no,9
small,2.9,yes,11
small,0.6,yes,9
large,2.9,no,15
large,2.8,yes,18
small,2.6,yes,11
small,0.5,no,5
small,0.0,yes,9
small,1.1,yes,9
medium,2.8,yes,15
small,0.4,yes,8
medium,2.4,no,10
medium,1.1,yes,11
large,0.9,no,10
medium,1.0,no,8
large,0.5,yes,14
medium,0.0,no,8
large,2.6,yes,18
medium,0.6,no,9
medium,1.0,no,7
small,0.1,yes,6
small,0.3,no,5
large,1.8,yes,15
small,2.0,yes,10
large,2.8,no,19
small,2.5,no,8
medium,0.2,yes,13
large,1.2,yes,16
small,1.7,no,7
large,1.1,no,13
small,0.5,yes,9
large,3.0,no,20
large,3.0,no,18
large,1.3,no,13
small,1.1,no,5
medium,0.0,yes,12
medium,0.0,yes,10
large,2.5,yes,15
medium,1.1,yes,11
medium,1.7,yes,16
small,1.5,yes,10
large,1.1,yes,18
medium,1.2,yes,14
large,2.8,no,14
medium,1.6,yes,12
large,2.2,no,18
large,1.5,yes,16
medium,0.2,yes,11
medium,2.3,yes,15
medium,2.0,yes,16
small,0.2,no,4
small,0.3,no,5
medium,1.0,yes,12
medium,1.9,no,9
small,2.1,yes,10
small,0.7,yes,9
large,2.4,no,13
small,2.2,yes,9
medium,1.9,yes,15
large,1.6,no,11
large,1.9,yes,17
large,0.8,no,13
large,1.2,no,13
medium,1.5,yes,12
large,0.1,yes,15
large,0.5,no,11
medium,0.7,no,10
medium,2.7,yes,18
medium,2.7,yes,14
large,2.6,yes,19
medium,2.7,no,10
large,0.4,yes,16
large,2.7,no,20
small,2.0,yes,11
small,0.6,yes,11
medium,2.9,no,14
large,2.8,no,13
small,0.6,no,5
large,0.7,yes,14
large,2.5,no,16
medium,1.5,yes,11
small,2.8,no,7
small,2.3,yes,10
large,1.5,no,16
medium,1.2,yes,14
medium,1.8,yes,15
small,2.6,yes,11
large,1.2,yes,15
medium,1.4,no,10
large,1.6,yes,16
large,0.3,yes,12
medium,1.8,yes,14
large,2.7,yes,17
medium,1.9,yes,14
large,1.8,yes,17
medium,1.7,yes,12
small,1.3,no,7
medium,1.9,yes,15
medium,0.0,no,8
small,1.8,no,6
medium,1.4,no,8
small,2.6,no,8
small,0.1,yes,6
small,2.0,no,5
small,1.3,yes,8
large,1.8,yes,20
small,0.3,no,4
small,2.3,yes,9
medium,1.0,no,9
large,0.2,yes,15
large,0.9,no,10
large,1.1,yes,17
medium,1.5,yes,13
small,0.0,yes,9
small,2.4,no,6
large,2.4,yes,14
small,0.9,no,6
medium,1.0,yes,14
large,1.4,no,14
medium,0.5,no,9
medium,1.4,no,10
large,0.9,no,11
large,2.1,no,11
small,1.0,no,6
large,1.8,yes,19
large,2.6,yes,17
medium,1.4,no,8
small,1.1,yes,10
small,2.4,yes,11
large,0.9,no,10
large,2.0,yes,14
large,0.3,no,12
large,2.6,no,13
large,2.3,no,13
large,2.7,no,13
large,1.0,no,12
small,0.8,yes,9
large,1.1,no,12
medium,1.7,yes,12
medium,0.2,yes,10
small,0.3,no,4
large,1.9,no,14
small,2.1,yes,12
small,0.3,no,4
large,2.1,no,15
small,2.6,no,8
large,2.8,no,19
medium,1.5,yes,13
small,0.8,no,5
small,1.2,yes,10
large,1.4,no,11
small,2.9,no,5
large,1.8,no,13
large,0.7,yes,17
small,1.8,no,5
medium,0.5,no,6
large,2.3,no,14
small,0.3,yes,10
small,2.3,yes,10
medium,0.6,no,8
large,0.9,no,13
small,1.7,no,8
small,1.1,yes,9
small,2.6,yes,10
medium,2.1,no,10
large,0.5,yes,14
medium,0.5,yes,8
large,2.7,no,16
small,1.9,no,8
large,1.8,no,14
medium,1.7,no,9
medium,1.8,no,11
large,0.8,no,8
medium,2.1,yes,15
large,2.2,no,13
large,0.3,no,11
large,0.2,no,11
large,2.3,no,16
large,2.2,no,15
medium,0.9,yes,12
large,0.8,no,12
large,3.0,yes,17
medium,0.8,no,7
large,0.3,yes,16
medium,2.4,no,11
small,2.4,yes,8
small,2.5,no,7
medium,2.2,yes,14
large,0.8,yes,12
medium,2.2,yes,14
small,1.6,no,5
medium,1.1,no,11
small,0.3,no,6
large,2.6,no,15
medium,2.0,no,11
small,2.2,yes,12
medium,1.6,yes,12
small,2.1,no,5
small,0.1,yes,8
small,2.9,yes,11
small,1.1,yes,10
medium,2.0,yes,15
medium,2.1,no,11
medium,2.3,no,12
medium,2.9,no,9
small,1.8,yes,10
medium,0.7,yes,12
small,0.2,no,5
medium,0.4,yes,12
large,1.0,no,12
medium,1.4,no,11
small,1.6,yes,10
small,1.7,no,5
small,1.9,yes,10
medium,2.3,no,11
small,2.9,yes,9
large,1.1,yes,16
small,0.6,yes,8
medium,1.5,no,10
medium,0.2,yes,11
large,1.4,yes,16
large,0.4,yes,13
large,1.9,yes,14
small,1.4,yes,11
small,1.5,yes,7
large,2.0,no,13
large,0.4,yes,15
small,0.8,no,4
small,1.3,yes,9
medium,2.3,yes,13
small,2.1,no,7
medium,2.1,yes,12
small,2.8,yes,12
small,1.9,no,5
small,0.6,yes,11
large,0.7,yes,14
large,2.5,no,14
small,0.2,no,4
medium,1.9,no,9
large,0.5,yes,15
large,1.3,no,13
medium,0.7,yes,11
small,1.1,yes,7
medium,0.4,no,6
medium,2.2,no,12
small,0.1,yes,7
medium,0.5,no,7
small,2.4,yes,10
medium,2.6,no,12
medium,2.5,no,9
small,0.7,no,6
large,2.8,yes,18
large,2.3,yes,18
large,2.5,no,14
small,2.1,no,7
medium,0.7,yes,9
medium,2.6,yes,16
large,1.2,no,13
small,2.6,yes,11
medium,1.3,no,10
large,2.4,yes,20
large,2.8,no,16
medium,1.4,yes,12
small,1.7,yes,8
large,1.4,yes,17
medium,1.5,no,8
medium,1.4,yes,14
medium,1.4,no,12
small,0.6,no,4
small,0.9,yes,8
medium,0.5,yes,11
large,1.6,yes,17
small,0.9,yes,9
large,1.9,no,15
medium,1.5,no,10
medium,0.5,no,7
medium,2.3,yes,14
large,2.8,no,13
large,2.1,yes,16
large,0.4,no,10
large,0.1,no,12
medium,1.6,yes,11
medium,2.3,no,12
large,1.6,no,13
medium,2.9,yes,19
medium,2.1,no,11
large,0.4,yes,13
small,1.0,yes,10
medium,0.6,yes,12
small,2.9,no,6
large,1.5,yes,17
medium,1.1,no,7
medium,2.9,yes,17
medium,2.4,no,11
medium,2.2,no,10
small,0.4,no,5
medium,0.2,no,6
medium,1.2,no,10
small,0.6,no,4
medium,2.5,no,12
small,0.1,yes,7
large,1.4,no,12
large,1.9,yes,16
small,1.8,no,7
medium,1.9,no,13
medium,1.5,yes,12
medium,1.4,yes,11
large,2.7,no,12
large,2.8,yes,18
small,1.6,no,7
medium,0.8,no,7
small,0.0,no,4
medium,2.8,yes,12
small,2.4,yes,10
small,2.8,no,7
small,2.5,no,6
large,2.4,yes,18
medium,0.4,yes,14
small,0.2,no,5
small,0.1,yes,7
medium,2.0,yes,16
small,0.6,no,3
large,2.8,no,17
large,1.8,yes,14
small,2.1,no,6
small,2.9,yes,14
medium,1.1,yes,12
medium,2.9,no,10
small,2.3,no,5
small,1.5,no,7
small,0.2,no,4
large,2.2,no,13
medium,0.6,yes,15
medium,0.5,no,8
large,2.0,yes,16
small,2.2,yes,9
large,2.5,no,15
large,1.5,no,15
medium,1.1,no,11
small,2.3,yes,8
small,0.1,yes,8
small,1.1,no,5
small,2.3,no,7
large,1.5,no,14
large,1.6,yes,19
medium,0.9,no,8
small,1.7,no,7
medium,0.4,no,7
large,1.5,no,14
large,0.2,no,10
large,2.0,no,12
small,0.4,no,5
small,2.3,no,6
medium,1.2,yes,13
large,0.3,yes,14
large,1.0,no,12
large,2.7,no,13
small,3.0,no,7
small,2.4,yes,10
large,1.0,no,11
medium,1.9,yes,15
small,0.9,no,6
small,2.2,yes,10
large,1.4,yes,15
large,2.4,no,15
medium,1.2,no,10
small,1.9,yes,11
large,2.8,no,18
large,2.6,no,18
small,1.6,no,6
large,2.1,no,16
small,1.9,no,5
small,0.8,yes,7
small,2.4,no,7
medium,1.3,yes,10
medium,2.0,yes,14
small,0.2,yes,6
medium,2.7,yes,17
small,0.3,yes,10
large,0.8,yes,14
medium,2.5,no,14
medium,0.7,yes,11
medium,2.6,yes,16
medium,1.6,no,12
small,1.1,no,6
large,0.1,yes,13
large,1.2,no,15
large,2.6,no,16
medium,2.8,no,13
small,0.9,yes,11
large,1.2,yes,15
medium,1.4,no,11
medium,2.6,yes,17
medium,1.3,no,8
small,1.9,yes,10
medium,0.6,no,7
small,0.7,yes,11
medium,1.4,yes,13
medium,0.6,no,7
medium,2.8,yes,12
large,1.9,yes,19
small,0.1,no,5
medium,0.5,yes,10
medium,2.5,no,11
small,2.8,no,7
small,1.3,yes,10
large,0.6,yes,13
medium,0.7,no,10
large,1.9,yes,13
large,1.2,yes,18
medium,0.2,yes,9
medium,3.0,yes,13
medium,2.0,yes,16
medium,0.5,no,10
small,0.3,no,4
small,2.9,no,9
large,1.1,no,12
large,2.5,no,15
small,0.9,no,6
large,1.9,no,11
small,0.5,no,4
medium,0.3,no,6
large,1.7,no,14
small,0.4,yes,8
large,1.5,no,14
small,1.8,yes,10
small,0.7,no,6
small,0.9,yes,10
medium,0.5,yes,11
large,2.9,yes,17
medium,1.0,yes,11
medium,2.4,yes,14
medium,0.5,no,6
small,1.2,no,5
large,0.5,no,11
