BV号,AV号,CID,UP主ID,UP主名称,UP主粉丝数,作品总数,视频标题,视频分类标签,视频时长,发布日期,发布时间,视频简介,播放量,点赞数,投币数,收藏数,分享数,评论数,弹幕数,传播效果指数
BV1K541117a4,454273123,1420932470,96639395,学院派Academia,1468227,133,【硬核社会学】前后三十年，中国叙事和道路选择的矛盾,人文历史,1634,2024-01-27,14:40:20,在无数可能的社会路径和意识形态的选择面前，我们始终无法知道和坚定自己要走哪一条道路。也许在各个阵营和意识形态中逢场作戏、迎来送往可以为我们谋取最大的利益。政策和意识形态的模糊空间只有在高速增长期才能暂时维持。当繁花落尽，我们仍然要选择爱什么样的人、走什么样的路。,743558,33445,16656,24874,7015,3456,1800,12.887457672376742
BV1EF4m1M7Pb,1200492503,1434329552,96639395,学院派Academia,1468227,133,【硬核社会学】从Chiikawa到帕鲁：动物打工人为何爆火？,社科·法律·心理,1439,2024-02-08,18:28:27,chiikawa对传统“宠物番”所带来的最强的意识形态断裂，是把马克思哲学的核心观念：作为人类的类本质的“生产”、“劳动”，也就是积极改造自然以求生存和发展的意识的概念，甚至是“劳动异化”的观念，引入了番剧之中。无论数码宝贝还是神奇宝贝，他们的主角都是“小孩子”，是不需要操心生计的小孩子和他们的动物玩伴。而chiikawa里的小可爱，反而是要自力更生的大人。是新时代努力自强、报团取暖，却又不失心中温暖柔情的“模范工人”。,260734,11952,4202,5238,2718,448,883,11.828106938999557
BV1bv411B7bG,243662823,208959593,96639395,学院派Academia,1468228,133,【游戏社会学】荒诞世界的罪与罚,单机游戏,1363,2020-07-04,22:56:54,,333095,17309,14479,9863,4633,1079,2374,12.099229920831936
BV1Zg4y1d7dw,832707157,1312079398,96639395,学院派Academia,1468228,133,【游戏社会学】法律为何总要制造罪人？审判是为了正义还是统治？,手机游戏,2847,2023-11-03,12:00:00,"久违的【游戏社会学】来了，快一小时的纯享版！今天我们要讨论的是：法律为什么无法消除罪恶、反而希望不断创造罪恶？为什么对罪人的审判构成了枫丹的政治凝结核？为什么一个解放性政治领袖畏惧发起革命？为什么明君反而是革命最大的敌人？
在一个不平等的国家里，“罪人”是一种被刻意炮制的燃料。",506595,18821,9448,10025,5534,1414,2151,12.489365223230298
BV1Jz421C7X5,1353073155,1508602503,96639395,学院派Academia,1468228,133,【游戏社会学】官僚和资本的双重压力下，我们如何重返未来？,手机游戏,3051,2024-04-19,18:00:00,当未来已经被取消，当变革似乎不再可能，历史的僵局是否真的有“替代物”？当改换天地的宏愿被迫解体之后，北极圈内的坚持是否还有可能？当未来不来——我们又如何“重返未来”？,596283,37334,11277,28681,4830,1599,1221,12.68197478182883
BV1Jz421C7X5,1353073155,1508602503,96639395,学院派Academia,1468228,133,【游戏社会学】官僚和资本的双重压力下，我们如何重返未来？,手机游戏,3051,2024-04-19,18:00:00,当未来已经被取消，当变革似乎不再可能，历史的僵局是否真的有“替代物”？当改换天地的宏愿被迫解体之后，北极圈内的坚持是否还有可能？当未来不来——我们又如何“重返未来”？,596283,37334,11277,28681,4830,1599,1221,12.68197478182883
BV1Eb4y1C7Az,631277015,358386112,96639395,学院派Academia,1468228,133,【思想社会学2】上帝已死？现代世界的终极焦虑与政治经济秩序溯源,社科·法律·心理,3431,2021-06-23,12:35:20,"00:00 - 06:35 上帝死了吗？不，它只是被污泥变成了邪神。
06:36 - 16:54 一战、优生学、核弹，面纱摘下后我们才真正接近宗教的生死终极问题
16:55 - 35:57 为什么宗教死了，现代狂信徒却越来越多？
35:58 - 57:10 市场-原子个体的资本主义为什么是取代上帝-信徒个体这一神人关系的新宗教",456444,19675,13006,10786,3269,2898,4490,12.399744954769336
BV1VQ4y167Jb,720779021,416817873,96639395,学院派Academia,1468228,133,【思想社会学】天道机械化、资本古神化、人性野兽化：现代世界的克苏鲁本质,社科·法律·心理,3621,2021-10-01,00:00:03,现代人为什么越活越痛苦？不断加重的精神和物质的双重压迫其根源何在？为什么自由主义和资本主义本质是一种不得已而为之的精神病？为什么说社会原子化和契约化本质上就是血源里的“兽化”？为什么从牛顿的机械宇宙开始，人类就不断在走向一个古神化的洛氏世界？打破这个进程，或者，我们终将无人生还。,792701,37545,25071,30510,5760,2658,3009,12.960836191260618
BV1Bb4y1r7WU,632004130,379626557,96639395,学院派Academia,1468228,133,【硬核经济学】世界经济为什么越来越差？,财经商业,2918,2021-07-31,00:44:35,,992070,31858,17414,22187,4511,3617,4069,13.159678237110606
BV1iS4y197ts,721728633,442111256,96639395,学院派Academia,1468227,133,【硬核经济学】现在就业难、失业快的本质原因：以美国为例,财经商业,2682,2021-11-14,15:37:15,"就业或失业，被剥削和被流放，为奴还是流浪——这是这个时代独特的“僵局”。新自由主义的幽灵仍然时刻缠绕着所有人，但，它的面具之下到底是什么？反抗就业不确定性，是为了回到螺丝钉和铁饭碗的“黄金年代”吗？又或者，真的存在一个“黄金年代”吗？
时隔两个月，【失业危局完整版】来了，所有问题，一次解答。
Special Thanks to Palgrave Macmillan, Dr. Wanda, and Dr. Elisa for making this video possible.",523621,22901,16496,12008,4275,2519,2348,12.536114968779144
BV1iS4y197ts,721728633,442111256,96639395,学院派Academia,1468227,133,【硬核经济学】现在就业难、失业快的本质原因：以美国为例,财经商业,2682,2021-11-14,15:37:15,"就业或失业，被剥削和被流放，为奴还是流浪——这是这个时代独特的“僵局”。新自由主义的幽灵仍然时刻缠绕着所有人，但，它的面具之下到底是什么？反抗就业不确定性，是为了回到螺丝钉和铁饭碗的“黄金年代”吗？又或者，真的存在一个“黄金年代”吗？
时隔两个月，【失业危局完整版】来了，所有问题，一次解答。
Special Thanks to Palgrave Macmillan, Dr. Wanda, and Dr. Elisa for making this video possible.",523621,22901,16496,12008,4275,2519,2348,12.536114968779144
BV1pR4y1o73C,347920083,901874633,96639395,学院派Academia,1468227,133,【硬核经济学】世界经济金融化的三十年,社科·法律·心理,2406,2022-11-26,18:00:00,"在国际层面上，在世界体系核心增长缓慢的背景下，所谓的“金融帝国主义新阶段”构成了当今全球化的主导现实。
极高的剥削率源于出口导向型外围国家(包括“新兴经济体”)的低工资和高人口。这不仅对地球上的大量人口是一种摧残，而且导致了全球过剩。最要命的是，由于工资极低，这些过剩无法是被生产经济体的内部所吸收的。这些经济体的出口依赖于富裕经济体的消费，尤其是债务和账户赤字巨大的美国。与此同时，在台面之下的事情是，这些“新兴”出口经济体产生的巨额出口盈余、这些人民用血汗赚的钱，往往会被吸引到高杠杆的资本市场去博弈，而这些全球盈余反过来强化了富裕经济体、也就是发达资本主义国家的积累过程的金融化，最终既导致了发达资本主义国家在金融层面对新兴经济体的完全碾压式的制度性竞争优势，同时又导致了新兴经济体内部重要资源和重要商品的金融化和脆弱化。",385465,20958,14541,13558,2866,771,728,12.244087824626881
BV1Wg4y1E7Hp,822944575,1034549097,96639395,学院派Academia,1468227,133,【硬核经济学】金融国战到底是怎么打的？,社科·法律·心理,2110,2023-03-03,17:35:00,一场布局20年、横跨五大洲的史诗级金融杀局是怎么布置的？一场国际级的裸贷陷阱又是怎么被经济学教科书洗白，变成市场经济自由化的道标的？中等收入陷阱这个词又是怎么被发明出来的？全世界最高端的金融暗战是怎么由所谓“无组织的自组织军队”打响的？从拉美债务到亚洲风暴，这期视频告诉你所有真相。,366052,21263,13086,12041,2939,869,1511,12.193083652616126
BV1Aw411q7Cd,321101117,1269756507,96639395,学院派Academia,1468227,133,【硬核经济学】东亚经济红利期“盛宴已过”？李佳琦所泄露的真相,社科·法律·心理,1148,2023-09-17,14:00:00,李佳琦的一声嘲弄，象征着贫富分化和原始积累已经完成，也象征着东亚经济的“盛宴已过”。80年代，美国也面临过一样的问题。问题是，东亚有能力如同美帝国主义一样，以本国与英国一整代人的生活为代价、以强势的国际货币、经济上层建筑和军事压力为条件，强行再开启下一个繁荣期吗？,1223088,52444,17886,25862,9117,5507,1944,13.372175032642796
BV1wW421A7iK,1851434783,1461829615,96639395,学院派Academia,1468227,133,【硬核经济学】民众没钱能有多可怕？详解世界大战的真正起因,人文历史,2903,2024-03-08,17:30:00,"23年最大的经济问题莫过于人民没钱、更不敢花钱。前者是经济问题，后者是社会问题。但总的来说，他们是现代资本世界“贫富不均”和“需求不足”等制度性阶级顽疾的症状，更是二战的直接原因。
面对这个问题，我们需要新时代的等级斗争和经济革命策略，一个超越版本的真正答案。",564379,22241,9165,13830,2630,1478,1774,12.599501271617532
BV1wW421A7iK,1851434783,1461829615,96639395,学院派Academia,1468227,133,【硬核经济学】民众没钱能有多可怕？详解世界大战的真正起因,人文历史,2903,2024-03-08,17:30:00,"23年最大的经济问题莫过于人民没钱、更不敢花钱。前者是经济问题，后者是社会问题。但总的来说，他们是现代资本世界“贫富不均”和“需求不足”等制度性阶级顽疾的症状，更是二战的直接原因。
面对这个问题，我们需要新时代的等级斗争和经济革命策略，一个超越版本的真正答案。",564379,22241,9165,13830,2630,1478,1774,12.599501271617532
BV1NF4m1F73X,1202029694,1476457601,96639395,学院派Academia,1468227,133,为什么美国走出了大萧条，但日本失去了三十年？,人文历史,3167,2024-03-22,17:11:00,当一个国家既无法等来外部战争，也被迫被缴械、无法主动发起战争的时候；当一个国家内部的统治阶级都必须臣服于国际资产阶级、才能联手压制了数代无产阶级革命的火苗的时候；当一个国家甚至连内乱都做不到、只能被迫保持“永久稳定”的时候，它陷入无止境的经济停滞，也就是题中应有之意了。,289738,12404,4534,7355,1297,878,802,11.934873316568726
BV1SN41197Ri,501973390,306612106,96639395,学院派Academia,1468227,133,【金融资本论】金融帝国主义如何剥削全世界？,财经商业,2561,2021-03-06,12:46:31,从P2P、花呗、基金热潮，到比特币、白酒股、显卡潮鞋市场，过去五年，我们见证了整个人类社会在互联网之下的泛金融化革命。然而，我们却没有看到真正的危险所在。早在百年前，马克思学派就已经系统地解剖了资本主义朝金融化迈进的复杂系统进程。而在今天，研究这个命题可能真正决定了我们的生死存亡。,624997,32266,30167,20933,7278,2108,3296,12.732542556786763
BV1k14y167MR,786667482,1217022322,50316381,疆域阿力木,2619286,183,敢采保护植物酿蜂蜜？日子真是越来越有判头了！,三农,36,2023-07-31,15:22:45,-,1522552,165338,1391,3251,318,2020,669,13.608249952217001
BV1VT4y177Ni,926657354,221789766,96639395,学院派Academia,1468227,133,【硬核人类史2】国家从何而来？深度解析政治系统的本质,人文历史,2277,2020-08-08,07:53:15,"【字数限制，完整引用文献在视频最后】
Braudel, Fernand. A History of Civilizations. 
Davis, James C. The Human Story: Our History from the Stone Age to Today. 
Hodgson, Marshall. Rethinking World History: Essays on Europe, Islam, and World History.",321227,15316,12111,9026,2164,1160,2137,12.056462973038212
BV1VT4y177Ni,926657354,221789766,96639395,学院派Academia,1468227,133,【硬核人类史2】国家从何而来？深度解析政治系统的本质,人文历史,2277,2020-08-08,07:53:15,"【字数限制，完整引用文献在视频最后】
Braudel, Fernand. A History of Civilizations. 
Davis, James C. The Human Story: Our History from the Stone Age to Today. 
Hodgson, Marshall. Rethinking World History: Essays on Europe, Islam, and World History.",321227,15316,12111,9026,2164,1160,2137,12.056462973038212
BV1SY411t7xh,253744411,498349316,96639395,学院派Academia,1468227,133,【硬核科学观1】混沌、量子、熵：现代科学革命如何颠覆所有人的认知？,科学科普,1746,2022-01-31,14:32:35,为什么哪怕精准地掌握了许多的科学观念和原理，现代人、甚至是训练有素的工程师和科学家，都有可能对“科学”这个宏观范式的理解产生偏差？亦或者说，有多少人只能够使用科学工具，而无法真正地认识科学这门学科？这背后的原因很简单，因为大多数人，包括绝大多数我们能“用得上的”科学知识，包括几乎所有工程师和非理论科学家做出科学进步所需要的的科学框架，都可以停留在一种牛顿式的、十八世纪的、决定论的、还原论的、实在论的确定性思维框架里。因此，我们无法、也不需要理解二十世纪以来全新的科学革命所带来的冲击性的世界观。也因此，我们更无法接受科学无法为这个世界提供绝对确定性的道标。这一范式僵局最深刻的影响是诱使我们在逐渐缩小的范围内寻找并不存在的意义，从而使我们走向荒漠。,325591,16704,8067,8422,1452,1729,1145,12.06294218606634
BV1pL411N7j1,466946119,518647112,96639395,学院派Academia,1468227,133,【硬核科学观2】如何理解现实：系统、强涌现与辩证法的科学观,科学科普,2226,2022-02-28,13:03:55,科学的支撑性背景理论其实早已从笛卡尔和培根走向了辩证法，但人类的科学研究本身并不仅仅是一个科学问题。盛行的机械还原主义是共识性的利益操纵，目的是将科学界与人类世界切割、维护特定的权力与话语统治，试图将科学共同体，而非科学，立为自然法的解释者。但系统科学和量子力学早就揭示了：还原论没有出路，一切都是相关因果性和组织性。我不是以哲学抗科学，这种二分法本身就是错误的。是现在的科学共同体在以他们的行为违反他们自己发现的科学规律。,159049,7925,3585,4453,801,743,411,11.345029753511296
BV1A94y1f7yQ,340042303,558462251,96639395,学院派Academia,1468227,133,【硬核科学观·完结篇】自由和意识的本质是什么？宇宙的场性与涌现性,科学科普,2562,2022-03-25,18:08:56,从十九世纪末开始，这个世界上最领先的理论科学家们已经开始意识到，经典的、牛顿式的实质性科学和其伴生的思维形而上学模式，在更大尺度的宇宙和系统以及更微观尺度的粒子和意识领域存在根本性错误。因此，包括爱因斯坦和薛定谔在内的几代科学家都在试图寻找一个完整的替代理论，来为新一代的物理学筑下基础。而人类意志，就是其中最重要、也最复杂的一块拼图……,175108,8346,3960,4300,908,798,391,11.437917395542776
BV1p34y177a1,812078297,734815343,96639395,学院派Academia,1468227,133,【会议记录·读懂马克思】如何入门资本论？经济学和工业党为什么都是错误的？,社科·法律·心理,2311,2022-05-31,20:52:27,这个月开始做的一个系列讲座的录音，如果大家对这个题材有兴趣（并且没有不可抗力），我以后会尽量都放上来。希望对大家自己去亲自阅读和研究资本论有帮助。,184919,11484,6261,5253,1957,667,544,11.50892848768841
BV1Yr4y1M7NB,770451516,759876141,96639395,学院派Academia,1468227,133,【会议记录·读懂马克思】马克思主义与白左和西方经济学的本质区别,社科·法律·心理,4307,2022-06-30,20:57:44,会议记录2,210019,13153,7414,7312,1911,323,271,11.639487628837943
BV1KW4y1p7bN,945621166,902824650,96639395,学院派Academia,1468227,133,【硬核国关学·切片】国际关系的本质是什么？,社科·法律·心理,1682,2022-11-25,23:15:44,,439172,19126,9866,10740,1535,1182,936,12.354187431660078
BV1Bv4y167Vs,566011917,985442130,96639395,学院派Academia,1468227,133,【硬核国关学】奇葩小国为什么无法崛起？,社科·法律·心理,773,2023-01-31,18:15:00,为什么小国崛起这么困难？原因也许很简单，那就是国际社会的本质就是人类有史以来所建立的最大的工厂，发达国家是这个工厂的老板，而小国，就是工厂的工人、甚至耗材……,492980,23176,10323,7172,1457,1019,882,12.464859364359697
BV1HM4y1D7EQ,906496281,995316996,96639395,学院派Academia,1468227,133,【硬核国关学】国际世界当然是黑暗森林！但它不必是,社科·法律·心理,1424,2023-02-07,18:10:00,当下的国际社会当然更接近刘慈欣的“黑暗森林”而非美式自由主义精英所构想的谈判桌，但问题是，这种“黑暗森林”是永恒的吗？三体抛开经济等级关系和社会生产关系来谈战争和生产力，很难不沦入另一种理工精英主义的幻想。,203227,9699,3920,3370,814,553,571,11.579976452219839
BV1C84y197hr,619983351,1305218316,96639395,学院派Academia,1468227,133,【硬核社会学】马克思会如何看待巴以问题？,人文历史,2265,2023-10-20,14:42:47,二战强权政治所带来的悲剧让犹太人相信，只有成为一个同样强权的国家，才能避免自己身上发生的灾难——于是，选择“认贼作父”。然而，再造一个capi-nation-states并不能解决capi-nation-states制度本身带来的问题。而我们现在应该思考的是，当下巴勒斯坦民族主义的出现是否是犹太复国主义失败的镜像颠倒。这个体系是否仍然在复制他自己。,586644,36798,20039,23123,7976,3051,6335,12.673533043503127
BV133411D73Y,434418009,942477183,96639395,学院派Academia,1468227,133,【火影政治学】从乱世战争到万世一系，用火影理解二战前后的人类世界,社科·法律·心理,2103,2022-12-31,17:00:00,和EVA一样，火影的本质是对二十世纪人类最残酷的相互屠杀和存在主义焦虑的精彩但具有局限性的反思。它本质上探讨了两个问题，一：在国际关系中，究竟是现实主义（扉间/团藏）和理想主义（柱间/斑）能实现永久和平；二：如何面对生命中的荒谬（大蛇丸/鼬）、痛苦（佩恩/我爱罗）、死亡（卡卡西/带土），以及人类究竟能否互相理解、还是永远只能相互恐惧。然而，这场对战争、生命和牺牲的严肃反思是如何不断自我否定，最终走向无限月读的唯我论和后大筒木时代的精英血统论的呢？,319907,18953,11111,11141,4936,1778,1280,12.060622505992121
BV133411D73Y,434418009,942477183,96639395,学院派Academia,1468227,133,【火影政治学】从乱世战争到万世一系，用火影理解二战前后的人类世界,社科·法律·心理,2103,2022-12-31,17:00:00,和EVA一样，火影的本质是对二十世纪人类最残酷的相互屠杀和存在主义焦虑的精彩但具有局限性的反思。它本质上探讨了两个问题，一：在国际关系中，究竟是现实主义（扉间/团藏）和理想主义（柱间/斑）能实现永久和平；二：如何面对生命中的荒谬（大蛇丸/鼬）、痛苦（佩恩/我爱罗）、死亡（卡卡西/带土），以及人类究竟能否互相理解、还是永远只能相互恐惧。然而，这场对战争、生命和牺牲的严肃反思是如何不断自我否定，最终走向无限月读的唯我论和后大筒木时代的精英血统论的呢？,319907,18953,11111,11141,4936,1778,1280,12.060622505992121
BV1wh4y1474f,614072174,1142063005,96639395,学院派Academia,1468227,133,【美国社会学】公司最好的上市方式，就是成为一个国家,人文历史,3371,2023-05-26,16:30:00,从里根-撒切尔和瑞斯顿的“消费者主权论”到德鲁克式的“股东社会”，从亚当斯密和鲍德里亚的病态缝合到利用养老金和社会保险将每个人绑在金融增长的战车上，美国这家“超级公司”花了一百年，终于上市了。,649556,32640,15795,21418,4466,2114,1858,12.75571976815864
BV15N411m7Cn,488137675,1190647630,96639395,学院派Academia,1468227,133,【精英社会学】精英是如何统治社会的？,人文历史,4481,2023-07-09,21:00:21,近3万字、沥血2月制作，从唯物主义到韦伯，从帕累托到布尔迪厄，一次性给你厘清两百年精英社会学的学术脉络。让四大学神为你解答三个问题：1、精英如何出现；2、精英如何统治；3、精英如何失败。这是一场史无前例的学术盛宴，或许也是长视频最后的堡垒。,1320625,88820,46542,94145,9731,5075,5238,13.502479497554933
BV12z4y1g79q,574748747,1231631180,96639395,学院派Academia,1468227,133,【精英社会学】“权力”的本质是什么？,人文历史,4526,2023-08-12,19:21:16,"一个半小时，从精英的生成学开始，为你讲清楚权力的起源与本质。无论你想成为精英、颠覆精英还是仅仅活着，你都不得不了解他们的强大和弱点，裂隙与永恒。
这或许是一个权力社会下最好的生存指南。",982445,60990,32451,64462,6285,3285,2656,13.1989198922863
BV12e4y1F7nB,652004010,1014917051,96639395,学院派Academia,1468227,133,【影视社会学】你没看懂的《狂飙》：黑手套、体制转轨与原始积累,社科·法律·心理,1114,2023-02-19,11:13:24,高启强之所以能够崛起，并不是因为他们单纯够狠、敢欺压老百姓。而是因为他们抓住了改革开放的时代红利，赶上了中国快速赶超工业化、自由市场化这一波浪潮。他们要清除的是过去以国有经济和国有企业为核心的计划经济制度，以及以村庄、乡贤和土地为主的传统儒家农业政治经济结构，然后以私有集团的形式取而代之。,714915,28677,10678,15382,4622,919,1632,12.83305010860821
BV12e4y1F7nB,652004010,1014917051,96639395,学院派Academia,1468227,133,【影视社会学】你没看懂的《狂飙》：黑手套、体制转轨与原始积累,社科·法律·心理,1114,2023-02-19,11:13:24,高启强之所以能够崛起，并不是因为他们单纯够狠、敢欺压老百姓。而是因为他们抓住了改革开放的时代红利，赶上了中国快速赶超工业化、自由市场化这一波浪潮。他们要清除的是过去以国有经济和国有企业为核心的计划经济制度，以及以村庄、乡贤和土地为主的传统儒家农业政治经济结构，然后以私有集团的形式取而代之。,714915,28677,10678,15382,4622,919,1632,12.83305010860821
BV1xW4y1F7pG,966586759,1413795494,96639395,学院派Academia,1468227,133,【影视社会学】精神分裂的繁花：新老上海的阶级竞争与混合体制,社科·法律·心理,4281,2024-01-21,11:45:00,繁花的本质，恰恰在于它的矛盾性。在于精通西装的老资本家爷叔固执地穿着的中山装，在于浪子宝总面对多条道路、多个有情人时的爱无能，在于东方明珠方起时的繁花落尽。这个城市运行着混合的制度，而城市中的人过着矛盾的人生。,164793,7545,2984,3800,1246,811,898,11.374088594584007
